Epoch: 6, Test loss: 0.34495302281885815, Accuracy: 8771/10000 (87.71%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 7, Test loss: 0.360763450936228, Accuracy: 8730/10000 (87.30%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 8, Test loss: 0.34518708989114966, Accuracy: 8740/10000 (87.40%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 9, Test loss: 0.3356152269722427, Accuracy: 8765/10000 (87.65%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 10, Test loss: 0.3533097437501856, Accuracy: 8677/10000 (86.77%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 11, Test loss: 0.3285967757695222, Accuracy: 8790/10000 (87.90%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 12, Test loss: 0.34186873185540534, Accuracy: 8778/10000 (87.78%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 13, Test loss: 0.32040398195668857, Accuracy: 8830/10000 (88.30%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 14, Test loss: 0.3699871256684269, Accuracy: 8571/10000 (85.71%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 15, Test loss: 0.3460103438505211, Accuracy: 8739/10000 (87.39%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 16, Test loss: 0.3073123461431048, Accuracy: 8852/10000 (88.52%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 17, Test loss: 0.3280866953146494, Accuracy: 8807/10000 (88.07%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 18, Test loss: 0.31775152288966263, Accuracy: 8881/10000 (88.81%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 19, Test loss: 0.3241940097041972, Accuracy: 8827/10000 (88.27%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 20, Test loss: 0.32652495824840916, Accuracy: 8783/10000 (87.83%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 21, Test loss: 0.3378812208588759, Accuracy: 8785/10000 (87.85%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 22, Test loss: 0.32004101476750474, Accuracy: 8781/10000 (87.81%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 23, Test loss: 0.3230981596871531, Accuracy: 8830/10000 (88.30%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 24, Test loss: 0.32675318772849243, Accuracy: 8801/10000 (88.01%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 25, Test loss: 0.36831089530147726, Accuracy: 8670/10000 (86.70%), Batch Size: 4, Total Epochs: 25, Dropout Rate: Dropout(p=0.5, inplace=False)
